Station Name: NEWPORT,,,,,,,,,,,
Station Height: 22 M ,,,,,,,,,,,
Latitude:53.922  ,Longitude: -9.572,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
year:  -  Year,,,,,,,,,,,
month: -  Month,,,,,,,,,,,
rain:  -  Precipitation Amount (mm),,,,,,,,,,,
meant: -  Mean Air Temperature (C),,,,,,,,,,,
"maxtp: -  Maximum Air Temperature (C)	  ",,,,,,,,,,,
"mintp: -  Minimum  Air Temperature (C)	",,,,,,,,,,,
mnmax: -  Mean Maximum Temperature (C),,,,,,,,,,,
mnmin: -  Mean Minimum Temperature (C),,,,,,,,,,,
gmin:  -  Grass Minimum Temperature (C),,,,,,,,,,,
wdsp:  -  Mean Wind Speed (knot),,,,,,,,,,,
mxgt:  -  Highest Gust (knot),,,,,,,,,,,
sun:   -  Sunshine duration (hours),,,,,,,,,,,
ind:   -  Indicator,,,,,,,,,,,
,,,,,,,,,,,
year,month,meant,maxtp,mintp,mnmax,mnmin,rain,gmin,wdsp,maxgt,sun
2005,2, , , , , , , , ,56, 
2005,3,8.7,18.9,0.9,11.4,6,63.8,-0.8,10.1,45, 
2005,4,8.8,16.8,1.8,12,5.6,131.1,0.4,10.5,50, 
2005,5, , , , , , , , , , 
2005,6, , , , , ,107.5,5.5,9.1,29, 
2005,7, , , , , ,45.7,9,9.4,40, 
2005,8, , , , , ,124.2,9.8,8.4,49, 
2005,9, , , , , ,117,4,10.1,47, 
2005,10,12,17.8,3.8,14.5,9.4,126.3,1.2,11.4,50, 
2005,11,7.9,14.6,-0.2,10.7,5.1,173.9,-0.8,11.1,59, 
2006,1,6.3,12.6,-1,8.6,4,90.5,-3,10.8,49, 
2006,2,6.3,11.8,0.5,8.7,3.8,92.1,-0.6,9,48, 
2006,3,6.1,12.9,-3,8.8,3.4,137.4,-7.7,9.7,60, 
2006,4,8.7,17.1,-0.5,11.9,5.5,110.9,-2.1,10.2,41, 
2006,5,11.1,23.6,4,14.5,7.7,144.3,1.4,11.5,47, 
2006,6,14.6,25.2,6.4,18.5,10.7,41.6,5.3,8.9,45, 
2006,7,16.6,27.8,9.1,20.2,13,66.3,5.9,8.8,43, 
2006,8,15.1,20.9,8.4,17.8,12.4,70.6,4.9,9.8,32, 
2006,9,14.9,21,7.5,18.1,11.7,179.8,4.8,9.6,45, 
2006,10,12.2,18.2,6.2,15,9.5,168.2,2.6,10.5,58, 
2006,11,8.6,14,1.8,11.2,6, ,-0.8,11.4,56, 
2006,12,7.2,12.6,-0.5,9.5,5,257.6,-1.5,12.7,60, 
2007,1,7.4,13.5,0.2,9.7,5,208.8,-2.1,13.6,62, 
2007,2,6.7,12.5,-1.5,9.5,3.8,107.2,-4.2,10.6,50, 
2007,3,8.1, , ,11.4,4.7,112,-0.3,11.8,59, 
2007,4,11.3,19.6,2.4,15.7,6.9,53.2,-0.3,8.2,47, 
2007,5,11.4,23.6,3.6,15.1,7.6,121,-1,9.8,43, 
2007,6,14.9,25.8,8.2,18.4,11.3,125.1,5,9.1,37, 
2007,7,14.7,21.2,8.8,17.9,11.6,183,6.4,9.1,54, 
2007,8,14.9,19.9,10.7,17.7,12.2,95.5,7.8,9.3,35, 
2007,9,13.7,21,3.8,16.8,10.7,76.7,0.3,8.1,43, 
2007,10,12.7, , ,15.4,10,90.1,4.1,8.2,39, 
2007,11,10, , ,12.1,8,102.2, ,8.9,47, 
2007,12,7.4,15.8,1.2,9.9,4.9,192.2,-0.6,12.9,53, 
2008,1,6.6,12.4,-3.4,9.1,4.1,212.7,-5.2,11.4,64, 
2008,2,7.1,14.1,-0.9,9.7,4.4, ,-1.5,11,55, 
2008,3,6.8,12.6,0.6,9.8,3.8,233.4,-0.9,13.1,77, 
2008,4,8.4,15.9,0.9,11.9,5,68.7,0,9.9,41, 
2008,5,14.1,23.3,5.2,18.5,9.7,31.8,4.5,9,36, 
2008,6,13.4,24.1,7.3,16.7,10.2,125.8,5.5,9.2,43, 
2008,7,15.1,23.4,7.7,18.2,12.1,62.4,5.5,9.4,35, 
2008,8,15.1,20.8,9.9,17.7,12.5,223.5,7.5,8.8,35, 
2008,9,12.9,18.6,6.5,16,9.8,169.9,3.5,8.8,44, 
2008,10,10,17.5,1.9,13.2,6.8,241.9,0.2,11.3,58, 
2008,11,8.4,13.1,0.6,10.4,6.4,165.9,-1,10.6,57, 
2008,12,6.1,11.4,-1.3,8.5,3.7,121.4,-2.6,8.7,45, 
2009,1,5.3,14.4,-3.1,8.1,2.5,139.9,-5.4,11,64, 
2009,2,6.4,11.9,-0.6,8.9,3.9,55.9,-2.9,7.3,38, 
2009,3,8,16.6,-0.2,11.2,4.9,126,-1.5,11.5,52, 
2009,4,9.8,18.5,1.8,13.4,6.2,101.7,-0.1,9.7,51, 
2009,5,11.2,24.9,3.7,14.8,7.6,127.9,-0.4,10.2,49, 
2009,6,15,27,7.4,19.2,10.9,64.4,5.9,8.8,39, 
2009,7,14.9,21.8,8.2,18.3,11.6,226,7.5,8.9,39, 
2009,8,14.6,19.2,9.5,17.2,11.9,232.5,7.6,9.6,41, 
2009,9,13.6,22.6,7.8,16.8,10.5,87.1,4.1,8.7,37, 
2009,10,12.1,18.2,5,15,9.2,111.1,1.7,9.1,47, 
2009,11,8,13.5,-0.9,10.6,5.5,311.7,-5,11.9,57, 
2009,12,4.5,12,-4.8,7.2,1.8,121.1,-8.7,8.9,51, 
2010,1,3.6,11.4,-6.5,6.4,0.8,80.4,-6.1,8.2,48, 
2010,2,3.6,11.7,-3.4,6.8,0.4,62.4,-5.7,7.2,30, 
2010,3,6.6,16.1,-1.9,10.4,2.8,76.7,-5.5,8.6,49, 
2010,4,9.9,19.2,1,14.2,5.6,55.6,-5.3,9,47, 
2010,5,11.3,25,3.2,15,7.6,53.4,-0.8,8.9,32, 
2010,6,14.8,22.6,9.1,18.6,11,43.2,3.9,8.7,33, 
2010,7,15,20.5,10.2,17.7,12.3,139.7,8.1,9.5,44, 
2010,8,14.5,22.5,7.1,17.6,11.3,111.3,3.4,8.8,46, 
2010,9,13.9,21.9,7.4,16.8,11.1,263,2.6,9.3,40, 
2010,10,11.1,19.1,2,14.5,7.8,120.6,-2.4,9,46, 
2010,11,6.3,13.8,-1.6,8.9,3.7,246.2,-3.7,9.1,61, 
2010,12,2.3,11.1,-9,4.9,-0.3,67.5,-9.1,6.7,46, 
2011,1,4.6,11.8,-3.1,7.5,1.7,93.2,-9.8,7.8,45, 
2011,2,6.8,14.1,-0.1,9.9,3.8,192.4,-3.7,9.8,57, 
2011,3,8,18.2,-0.4,11.7,4.3,82.5,-7.2,7.8,66, 
2011,4,11.8,20.4,3.5,16.2,7.4,81.6,-0.9,8.8,47, 
2011,5,11.2,19,5.6,14.2,8.3,159.1,2.7,13.7,51, 
2011,6,12,22.1,4.8,15.6,8.4,98.7,-0.3,9.2,42, 
2011,7,14.4,21.9,9,17.5,11.3,67.3,4.6,8.4,45, 
2011,8,13.6,19.3,7.8,16.8,10.5,122.9,3.7,7.6,34, 
2011,9,13.5,19.5,8.3,16.1,10.8,194.6,6.8,12.4,53, 
2011,10,11.6,17.7,4.8,13.9,9.2,255.9,0.7,11.2,55, 
2011,11,9.9,15.4,2.6,12.6,7.2,163.4,-1.7,11.9,49, 
2011,12,6.8,12.5,0.1,9.1,4.5,296.9,-2,14,63, 
2012,1,7.3,11.5,0.1,9.4,5.1,173.2,-1.2,12.4,60, 
2012,2,7.8,12,-2,9.8,5.9,154.4,-2.5,10,54, 
2012,3,9.3,21.1,0.6,12.7,5.8,65.3,-2.7,9.4,42, 
2012,4,7.9,14.9,1.3,11.3,4.4, ,-1.4,10,40, 
2012,5,11.8,26.8,2.2,15.5,8.1,74.9,-2.4,9.7,38, 
2012,6,12.9,19.6,5.1,15.9,9.9,169.9,3.2,9.1,45, 
2012,7,13.9,21.3,7.3,16.9,10.9,104.6,2.6,8.7,34, 
2012,8,15.9,26,8.7,19.2,12.5,101.4,5.4,9.4,38, 
2012,9,12.6,18.8,4.9,15.5,9.8,175.6,0.1,9.7,37, 
2012,10,9.5,15.7,3.1,12.5,6.4,109.4,0.9,8.1,33, 
2012,11,7,13.4,-0.2,9.4,4.6,154.8,-4.9,8.8,41, 
2012,12,6.3,13.9,0.5,8.6,3.9,166.2,-3.6,10.3,60, 
2013,1,5.9,12.7,-0.5,8.3,3.5,190.5,-3.5,10,58, 
2013,2,5.6,11.4,-1.7,8.2,3,85.7,-8.4,11,55, 
2013,3,4.7,12.2,-2.5,7.4,1.9,53.6,-7.5,10.3,47, 
2013,4,7.8,15.4,0.4,11.7,3.9,126.2,-2.9,11.9,58, 
2013,5,10.1,17.4,3.7,13,7.2,158.2,-0.4,11.6,46, 
2013,6,14.2,25.4,7.2,18.3,10.1,61.3,3.6,8.4,43, 
2013,7,17.8,29,10.3,22.2,13.5,95.5,8.2,6.9,27, 
2013,8,15.4,20.8,9.7,18.4,12.3,101.7,6.3,8.7,36, 
2013,9,14.1,22.5,7.1,17,11.3,92.7,2.4,9.1,54, 
2013,10,12.3,20.9,5,15.3,9.3,112.7,2.9,9.3,41, 
2013,11,7.8,13.8,1.8,10.3,5.2,117.1,0.1,8.4,59, 
2013,12,7.7,14.8,1.1,10.2,5.1,193.4,-1.9,13.4,63, 
2014,1,6,11.9,0.2,8.6,3.4,286.4,-3.6,11.1,68, 
2014,2,5.8,11.9,0.4,8.4,3.3,238.8,-2.9,12.6,75, 
2014,3,7.7,14.7,1,10.8,4.5,120.7,-3.7,10.1,56, 
2014,4,10.8,20.4,3.6,14.7,7,53.5,-0.3,8.9,40, 
2014,5,11.9,22.3,6.5,15,8.8,134,3.6,9.7,42, 
2014,6,14.8,27.1,4.7,18.7,10.9,79.6,4.1,7.3,33, 
2014,7,16.3,26.2,9.1,19.7,13,86.8,5.6,7.4,29, 
2014,8,14.2,21.7,7,17.4,11,119.2,3.3,8.8,43, 
2014,9,14.6,21.2,7,18.2,11,15.4,4,6.3,31, 
2014,10,11.3,17.6,3.8,14.4,8.2,160.1,-0.7,10.6,56, 
2014,11,7.9,13.4,0.5,10.6,5.2,134.9,-2.9,7.9,38, 
2014,12,6.7,12,0.1,9,4.4,285.6,-3.3,11.4,56, 
2015,1,5.7,13.3,-0.8,8.5,2.9,270.8,-5.2,13.6,63, 
2015,2,5.7,11.9,-0.3,8.4,2.9,145.6,-3.4,9.7,74, 
2015,3,7,14.6,0.3,10.6,3.3,160,-4.3,12,57, 
2015,4,9.3,21.3,1.5,14.2,4.3,122.7,-1.9,8.4,43, 
2015,5,10,16.8,2.7,13.3,6.7,154.1,0.3,11,42, 
2015,6,13,20.7,5.3,16.5,9.5,59.2,1.2,9.6,46, 
2015,7,13.9,22,8.3,17.3,10.6,158.1,4.5,8.9,38, 
2015,8,14.1,21.6,8.1,17.2,10.9,128,5,8.7,44, 
2015,9,12.8,19.5,5.5,15.9,9.8,150.4,2.3,8.3,37, 
2015,10,11.1,17.3,4.7,14.3,8,90.9,-0.1,7.8,43, 
2015,11,9.2,16.2,2.4,12,6.5,321.1,-0.1,12.3,60, 
2015,12,8.2,14.9,1.1,11.1,5.4,317.9,-2.3,13.9,60, 
2016,1,6.2,14.3,0,8.5,3.9,192.6,-2.2,11.2,59, 
2016,2,5.7,11.4,-0.8,8.7,2.7,237.6,-3.9,10.9,53, 
2016,3,7.4,16.1,0.6,10.7,4.1,142.2,-0.8,9.3,63, 
2016,4,7.8,18.2,0.4,11.5,4.2,103.4,-2.4,9.6,48, 
2016,5,12.6,24.4,3.7,16.6,8.6,60.2,-0.2,8.6,43, 
2016,6,15.3,24.4,8.9,18.9,11.8,106,7.9,8.1,33, 
2016,7,15,26.9,9.4,18.1,12,107.8,7.6,7.7,34, 
2016,8,15.5,25,10.2,18.3,12.7,130.3,8.5,9.7,38, 
2016,9,14.2,20.5,7.5,17.2,11.1,205.2,7.2,9.4,43, 
2016,10,11.3,17.2,2.4,14.1,8.5,46.6,0.8,7.9,33, 
2016,11,7,13.7,-0.9,9.7,4.4,151.9,-3.6,7.2,38, 
2016,12,8,14.4,1.1,10.6,5.4,95.4,-3.8,10.1,56, 
2017,1,7.1,12.6,0.4,9.5,4.8,94.3,-5.1,9.8,51, 
2017,2,6.7,12.6,-0.1,9.3,4,151,-4.3,11.2,73, 
2017,3,8.7,19.2,1,12.1,5.3,216.2,-1.4,9.4,45, 
2017,4,10,17.1,2.4,13.1,6.9,31.1,-0.5,8.1,38, 
2017,5,13.5,24.6,5,18.5,8.5,64.2,0.8,8.5,35, 
2017,6,14,23.1,7.9,17.2,10.9,108.3,5.5,9.8,37, 
2017,7,14.8,24.6,8.7,18.4,11.2,164,6.4,8,36, 
2017,8,14.6,20.4,7.6,18,11.2,197.6,3.6,8,34, 
2017,9,13,22,6.3,16.1,9.8,153.3,1.7,9.9,48, 
2017,10,11.7,17.1,4.9,14.4,9.1,190.1,2.3,10.2,62, 
2017,11,8.1,16.6,1.8,10.7,5.5,203,-1.1,8.7,42, 
2017,12,6.6,14.1,-0.6,8.8,4.3,179.7,-3.5,9.2,60, 
2018,1,5.9,12.2,-2.1,8.3,3.5,274.6,-5.9,12.3,75, 
2018,2,4.6,10.6,-3.5,7.5,1.7,155.6,-3.5,10.2,45, 
2018,3,5.5,13,-3.6,8.9,2.2,86.2,-5.9,9,45, 
2018,4,9.1,17,-1,12.6,5.5,94.3,-3.6,9.8,44, 
2018,5,13.1,26.1,4.1,17.3,8.9,70.4,2.1,8.8,36, 
2018,6,16.1,29.8,6.3,21,11.2,65.9,3,7.6,52, 
2018,7,16.1,26.3,9.7,20.1,12.2,58.6,6,7.3,35, 
2018,8,15,22.1,7.7,18.4,11.7,179.1,5.6,8.1,34, 
2018,9,12.4,20,4.2,15.6,9.2,148.3,0.6,8.1,67, 
2018,10,10.9,20.3,2.5,13.9,7.8,140.9,-0.6,9.8,58, 
2018,11,8.3,15.2,1.4,10.8,5.8,172.6,-1.1,11.1,45, 
2018,12,8.1,12.5,1.6,10,6.2,201,-1.7,9.7,47, 
2019,1,6.9,12.2,0.3,8.9,4.9,146.8,-1.4,8.6,52, 
2019,2,8.4,15.2,-0.7,11.3,5.4,115,-4.1,11.6,64, 
2019,3,7.9,15.2,1.7,10.9,4.9,228.5,-1.7,11.3,62, 
2019,4,10.2,21.4,1.8,14.2,6.3,100.7,-0.7,10.4,59, 
2019,5,11.7,21,1.7,16,7.4,112.5,-1.5,7.8,29, 
2019,6,13.1,25.5,5.5,16.7,9.6,76.6,1.4,8.7,39, 
2019,7,16.3,23.5,7.6,19.8,12.8,82.7,4.5,7.7,35, 
2019,8,15.5,23.9,8.8,18.8,12.1,228.9,4.2,8.9,42, 
2019,9,13.7,21.2,7.2,17.1,10.3,175.5,3.1,8.3,42, 
2019,10,10.3,17.6,1.6,13,7.5,160.7,-2.1,9.2,57, 
2019,11,7.1,12.5,0.6,9.4,4.9,148.1,-3.4,8.5,49, 
2019,12,7.1,13.8,0.1,9.5,4.6,220.6,-3,10.2,69, 
